cell_id,0
14823,True NK
14842,True NK
14843,Unclear
14847,Unclear
14848,Cytotoxic CD8 (mislabeled)
14854,True NK
14858,True NK
14862,True NK
14864,True NK
14865,True NK
14878,True NK
14882,Unclear
14884,True NK
14890,True NK
14899,Unclear
14906,True NK
14911,True NK
14920,True NK
14926,True NK
14929,True NK
14930,Unclear
14932,True NK
14551,Cytotoxic CD8 (mislabeled)
14617,Cytotoxic CD8 (mislabeled)
14640,True NK
14820,True NK
14833,Cytotoxic CD8 (mislabeled)
14873,Unclear
14893,Unclear
14908,Unclear
14736,NKT
14506,Cytotoxic CD8 (mislabeled)
14530,Cytotoxic CD8 (mislabeled)
14779,NKT
14844,Unclear
14897,Cytotoxic CD8 (mislabeled)
14430,Cytotoxic CD8 (mislabeled)
14473,True NK
14493,True NK
14535,Cytotoxic CD8 (mislabeled)
14542,Unclear
14548,Unclear
14569,Cytotoxic CD8 (mislabeled)
14579,True NK
14580,Unclear
14602,True NK
14616,Cytotoxic CD8 (mislabeled)
14618,True NK
14665,NKT
14672,Cytotoxic CD8 (mislabeled)
14675,Cytotoxic CD8 (mislabeled)
14677,Unclear
14693,Unclear
14705,True NK
14709,Cytotoxic CD8 (mislabeled)
14731,Unclear
14739,True NK
14743,Unclear
14759,Unclear
14771,Cytotoxic CD8 (mislabeled)
14811,Cytotoxic CD8 (mislabeled)
14839,True NK
14923,True NK
14927,Unclear
14456,Unclear
14502,Unclear
14889,True NK
15027,True NK
15037,Cytotoxic CD8 (mislabeled)
15190,True NK
15223,Cytotoxic CD8 (mislabeled)
15225,Cytotoxic CD8 (mislabeled)
15573,True NK
15182,Unclear
15198,Unclear
15206,Cytotoxic CD8 (mislabeled)
15461,Unclear
15466,True NK
15594,Cytotoxic CD8 (mislabeled)
14936,Unclear
14964,Cytotoxic CD8 (mislabeled)
15141,NKT
15226,True NK
15265,NKT
15280,Cytotoxic CD8 (mislabeled)
15309,True NK
15371,True NK
15475,Cytotoxic CD8 (mislabeled)
15455,Unclear
15041,Cytotoxic CD8 (mislabeled)
15047,True NK
15063,True NK
15383,True NK
15233,True NK
15368,NKT
15860,Unclear
15755,NKT
15881,True NK
15971,True NK
15974,Unclear
16007,True NK
16030,Unclear
16161,Unclear
15675,Unclear
15949,Unclear
16022,Cytotoxic CD8 (mislabeled)
15989,Cytotoxic CD8 (mislabeled)
15634,Cytotoxic CD8 (mislabeled)
15665,True NK
15688,True NK
15766,NKT
15817,Cytotoxic CD8 (mislabeled)
15846,True NK
15876,Unclear
15934,Cytotoxic CD8 (mislabeled)
15978,Unclear
15985,Unclear
16042,True NK
16053,True NK
16117,True NK
16150,Cytotoxic CD8 (mislabeled)
15708,True NK
15900,Unclear
15940,NKT
16265,Unclear
16830,Cytotoxic CD8 (mislabeled)
16501,True NK
16528,True NK
16631,True NK
16740,True NK
16776,NKT
16857,Unclear
16248,Cytotoxic CD8 (mislabeled)
16299,Cytotoxic CD8 (mislabeled)
16566,Unclear
16762,Unclear
16914,Cytotoxic CD8 (mislabeled)
16221,True NK
16206,Cytotoxic CD8 (mislabeled)
16223,True NK
16262,NKT
16310,Unclear
16347,True NK
16368,Cytotoxic CD8 (mislabeled)
16417,True NK
16437,Unclear
16538,Cytotoxic CD8 (mislabeled)
16649,Unclear
16770,Cytotoxic CD8 (mislabeled)
16799,True NK
16922,Cytotoxic CD8 (mislabeled)
16422,Cytotoxic CD8 (mislabeled)
16440,Unclear
16488,Unclear
16557,Unclear
16823,True NK
16408,NKT
16421,True NK
16832,True NK
16871,Unclear
16957,Unclear
17064,Unclear
17118,NKT
17080,Unclear
17179,Unclear
17060,True NK
17191,Cytotoxic CD8 (mislabeled)
17085,True NK
17243,Cytotoxic CD8 (mislabeled)
17298,Unclear
17950,Cytotoxic CD8 (mislabeled)
18028,Cytotoxic CD8 (mislabeled)
17468,Cytotoxic CD8 (mislabeled)
17217,True NK
17222,Unclear
17236,True NK
17248,Unclear
17252,Unclear
17283,Unclear
17286,True NK
17289,True NK
17291,True NK
17293,Cytotoxic CD8 (mislabeled)
17294,Unclear
17304,True NK
17309,Cytotoxic CD8 (mislabeled)
17323,Unclear
17334,Cytotoxic CD8 (mislabeled)
17366,True NK
17367,Cytotoxic CD8 (mislabeled)
17371,Cytotoxic CD8 (mislabeled)
17377,True NK
17398,Cytotoxic CD8 (mislabeled)
17402,Unclear
17409,NKT
17413,True NK
17424,Cytotoxic CD8 (mislabeled)
17425,True NK
17428,Cytotoxic CD8 (mislabeled)
17437,Cytotoxic CD8 (mislabeled)
17441,Cytotoxic CD8 (mislabeled)
17451,Cytotoxic CD8 (mislabeled)
17453,Unclear
17454,True NK
17460,Unclear
17464,Unclear
17473,True NK
17474,Cytotoxic CD8 (mislabeled)
17476,True NK
17481,Unclear
17485,True NK
17494,Unclear
17517,True NK
17518,NKT
17523,NKT
17536,Unclear
17543,NKT
17544,True NK
17550,Cytotoxic CD8 (mislabeled)
17553,Cytotoxic CD8 (mislabeled)
17556,Unclear
17561,Cytotoxic CD8 (mislabeled)
17569,Cytotoxic CD8 (mislabeled)
17572,Cytotoxic CD8 (mislabeled)
17579,Unclear
17584,True NK
17585,Unclear
17600,True NK
17609,True NK
17613,Unclear
17627,True NK
17628,Unclear
17629,NKT
17636,True NK
17640,True NK
17645,Cytotoxic CD8 (mislabeled)
17647,Unclear
17648,True NK
17650,Cytotoxic CD8 (mislabeled)
17660,True NK
17662,True NK
17664,Unclear
17668,Unclear
17669,True NK
17672,Cytotoxic CD8 (mislabeled)
17679,Unclear
17682,True NK
17689,True NK
17694,Unclear
17706,Unclear
17723,Cytotoxic CD8 (mislabeled)
17741,Unclear
17759,Unclear
17761,NKT
17762,NKT
17765,Cytotoxic CD8 (mislabeled)
17772,True NK
17775,Unclear
17780,True NK
17799,True NK
17800,Cytotoxic CD8 (mislabeled)
17801,True NK
17804,Unclear
17824,Cytotoxic CD8 (mislabeled)
17832,Unclear
17833,True NK
17834,NKT
17847,Cytotoxic CD8 (mislabeled)
17849,Unclear
17854,Cytotoxic CD8 (mislabeled)
17856,Unclear
17867,Unclear
17870,True NK
17873,Cytotoxic CD8 (mislabeled)
17877,NKT
17896,Unclear
17897,Unclear
17903,Cytotoxic CD8 (mislabeled)
17905,NKT
17913,NKT
17914,Cytotoxic CD8 (mislabeled)
17916,Unclear
17927,Cytotoxic CD8 (mislabeled)
17928,NKT
17946,NKT
17953,Cytotoxic CD8 (mislabeled)
17955,Unclear
17960,Cytotoxic CD8 (mislabeled)
17963,Unclear
17965,Unclear
17978,Cytotoxic CD8 (mislabeled)
17981,True NK
17992,Unclear
17994,True NK
17999,Unclear
18000,Unclear
18007,Cytotoxic CD8 (mislabeled)
18008,Unclear
18012,True NK
18015,Unclear
18023,Unclear
18029,Cytotoxic CD8 (mislabeled)
18047,Cytotoxic CD8 (mislabeled)
18050,Cytotoxic CD8 (mislabeled)
18073,Unclear
18074,True NK
18080,True NK
18085,True NK
18095,True NK
18098,True NK
18104,Unclear
18105,Unclear
18110,Unclear
18117,Unclear
18121,True NK
18123,True NK
18126,NKT
18129,True NK
18132,Unclear
18147,True NK
18149,Unclear
18150,Cytotoxic CD8 (mislabeled)
18151,NKT
18164,True NK
18172,Unclear
18189,True NK
18200,Unclear
18201,True NK
18203,True NK
18205,NKT
18207,True NK
18215,NKT
18226,Cytotoxic CD8 (mislabeled)
18233,True NK
18242,True NK
18245,True NK
18253,True NK
18272,Cytotoxic CD8 (mislabeled)
18274,NKT
18276,True NK
18280,NKT
18290,Cytotoxic CD8 (mislabeled)
18296,True NK
18298,Cytotoxic CD8 (mislabeled)
18303,True NK
18309,Unclear
18310,True NK
18325,True NK
18347,True NK
18348,True NK
18351,True NK
18358,NKT
18360,Unclear
18362,Unclear
18363,Cytotoxic CD8 (mislabeled)
18368,Unclear
18377,True NK
18385,Cytotoxic CD8 (mislabeled)
18387,NKT
18389,NKT
18392,Unclear
18393,Cytotoxic CD8 (mislabeled)
18394,NKT
18395,Cytotoxic CD8 (mislabeled)
18401,True NK
18414,Cytotoxic CD8 (mislabeled)
18416,Unclear
18420,True NK
18421,Unclear
18423,Unclear
18424,NKT
18425,NKT
18427,Unclear
18428,Cytotoxic CD8 (mislabeled)
18458,Cytotoxic CD8 (mislabeled)
17229,Unclear
18184,True NK
17204,Unclear
17326,True NK
17448,NKT
17837,Unclear
18093,Cytotoxic CD8 (mislabeled)
17881,Cytotoxic CD8 (mislabeled)
18241,NKT
17651,True NK
20187,Unclear
18512,Cytotoxic CD8 (mislabeled)
20236,Unclear
20589,Cytotoxic CD8 (mislabeled)
18464,NKT
18466,True NK
18468,Cytotoxic CD8 (mislabeled)
18471,True NK
18476,Unclear
18480,Cytotoxic CD8 (mislabeled)
18484,NKT
18495,Unclear
18506,Unclear
18509,True NK
18515,True NK
18523,NKT
18532,NKT
18537,True NK
18545,NKT
18550,True NK
18560,Unclear
18564,Unclear
18568,Unclear
18569,Cytotoxic CD8 (mislabeled)
18576,True NK
18577,True NK
18581,Unclear
18582,NKT
18586,True NK
18587,True NK
18590,Unclear
18593,True NK
18594,True NK
18598,Cytotoxic CD8 (mislabeled)
18599,Unclear
18600,Unclear
18601,True NK
18612,True NK
18621,Unclear
18630,NKT
18642,True NK
18648,Cytotoxic CD8 (mislabeled)
18652,True NK
18655,True NK
18661,True NK
18664,True NK
18667,True NK
18668,True NK
18671,Cytotoxic CD8 (mislabeled)
18673,True NK
18676,Cytotoxic CD8 (mislabeled)
18684,True NK
18706,True NK
18707,True NK
18718,Unclear
18724,Unclear
18732,True NK
18733,True NK
18734,Cytotoxic CD8 (mislabeled)
18737,True NK
18742,Unclear
18746,True NK
18758,Cytotoxic CD8 (mislabeled)
18759,Unclear
18761,Unclear
18762,NKT
18767,True NK
18770,True NK
18774,True NK
18780,True NK
18784,True NK
18786,Unclear
18796,True NK
18807,Cytotoxic CD8 (mislabeled)
18808,Cytotoxic CD8 (mislabeled)
18813,Unclear
18822,True NK
18836,True NK
18856,NKT
18879,NKT
18886,True NK
18888,Unclear
18893,NKT
18898,True NK
18901,True NK
18907,Cytotoxic CD8 (mislabeled)
18909,Unclear
18912,Unclear
18916,True NK
18922,True NK
18923,True NK
18929,Unclear
18937,NKT
18953,True NK
18958,True NK
18962,True NK
18970,NKT
18977,True NK
18980,True NK
18981,Cytotoxic CD8 (mislabeled)
18986,True NK
18987,NKT
18990,Unclear
18993,NKT
19004,True NK
19005,NKT
19007,True NK
19015,NKT
19016,Unclear
19017,NKT
19041,True NK
19042,True NK
19043,Unclear
19045,True NK
19046,Cytotoxic CD8 (mislabeled)
19047,True NK
19049,Cytotoxic CD8 (mislabeled)
19055,Cytotoxic CD8 (mislabeled)
19059,NKT
19064,Unclear
19071,True NK
19076,Cytotoxic CD8 (mislabeled)
19080,True NK
19081,Unclear
19085,NKT
19091,True NK
19096,Unclear
19097,Cytotoxic CD8 (mislabeled)
19110,True NK
19115,Unclear
19116,True NK
19119,NKT
19126,True NK
19130,True NK
19159,NKT
19169,NKT
19175,Unclear
19177,True NK
19181,Unclear
19188,NKT
19191,NKT
19194,NKT
19195,True NK
19199,Cytotoxic CD8 (mislabeled)
19207,True NK
19230,Unclear
19253,NKT
19254,True NK
19262,NKT
19264,True NK
19265,True NK
19270,True NK
19277,NKT
19279,True NK
19281,True NK
19283,True NK
19291,Unclear
19293,Unclear
19296,Unclear
19297,Cytotoxic CD8 (mislabeled)
19299,True NK
19307,Cytotoxic CD8 (mislabeled)
19309,NKT
19314,Cytotoxic CD8 (mislabeled)
19316,NKT
19330,Unclear
19334,Unclear
19338,Cytotoxic CD8 (mislabeled)
19339,True NK
19347,True NK
19348,NKT
19351,Unclear
19354,True NK
19369,True NK
19370,Unclear
19373,NKT
19387,True NK
19388,True NK
19392,Unclear
19401,Unclear
19422,True NK
19429,True NK
19441,Unclear
19443,Cytotoxic CD8 (mislabeled)
19445,Cytotoxic CD8 (mislabeled)
19452,True NK
19455,NKT
19459,Cytotoxic CD8 (mislabeled)
19460,True NK
19462,True NK
19487,True NK
19508,True NK
19509,Unclear
19524,Cytotoxic CD8 (mislabeled)
19528,Cytotoxic CD8 (mislabeled)
19544,NKT
19553,Cytotoxic CD8 (mislabeled)
19557,True NK
19558,True NK
19560,Unclear
19566,Unclear
19568,True NK
19575,Unclear
19577,Cytotoxic CD8 (mislabeled)
19579,NKT
19586,True NK
19597,True NK
19598,Unclear
19600,Cytotoxic CD8 (mislabeled)
19612,True NK
19614,Cytotoxic CD8 (mislabeled)
19618,Cytotoxic CD8 (mislabeled)
19619,Unclear
19623,NKT
19626,NKT
19634,NKT
19638,True NK
19640,NKT
19642,True NK
19644,True NK
19648,True NK
19677,Unclear
19678,Unclear
19682,True NK
19685,NKT
19691,Cytotoxic CD8 (mislabeled)
