source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CCL4,CCR3,-0.22824426,1.0,0.010419726,-0.23629494556059397,-2.9787350202304923,0.48225546,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CCL4,CCR5,-0.20398748,1.0,-0.010557083,-0.2050798907832775,-1.8600892109929728,0.012915611,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CCL4,CNR2,-0.25967777,1.0,0.03760282,-0.24199409979723432,-3.5028076888684563,-0.05172825,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CCL5,ACKR1,-0.29559767,1.0,0.055419955,-0.33728011884237524,-1.4267870597699708,-0.045290947,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CCL5,CCR3,-0.24923186,1.0,0.011431242,-0.34020988463706014,-2.8288081991615175,0.71382415,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CCL5,CCR5,-0.22497508,1.0,-0.011581934,-0.3089948298597437,-1.7101623899239984,0.01911741,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CCL5,CXCR3,-0.34193772,1.0,0.0993842,-0.4243728414164517,-3.1093539781527983,-0.16905685,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CCL7,ACKR1,-0.077090524,1.0,0.004363756,,-0.6928822423494259,0.0061688107,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CCL7,CCR2,0.098820776,0.175,-0.008777333,,-1.1150905912546696,0.07903127,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CCL7,CCR3,-0.030724708,1.0,0.00090009376,,-2.0949033817409726,-0.09722574,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CCL7,CCR5,-0.0064679235,0.339,-0.0009119592,,-0.9762575725034535,-0.0026038687,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CCL7,CXCR3,-0.12343055,0.871,0.007825492,,-2.3754491607322534,0.023026228,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CCL8,ACKR1,-0.08606297,1.0,0.00646025,-0.028555816090317133,-3.194648294004986,0.083990626,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CCL8,CCR2,0.089848325,0.195,-0.012994257,0.04562196840584873,-3.6168566429102293,1.0760399,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CCL8,CCR3,-0.03969715,1.0,0.0013325288,-0.03148558188500204,-4.596669433396533,-1.3237643,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CCL8,CCR5,-0.015440367,0.372,-0.0013500948,-0.0002705271076855857,-3.4780236241590137,-0.03545263,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CD14,RIPK1,-0.13836424,0.706,-0.0058798543,-0.07519325801835317,0.34211754903985137,0.031782616,,,
