source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Monocytes/DC,Naive/Memory CD8 T cells,CXCL13,CXCR3,0.115504384,0.186,-0.0069500636,0.02149124245368427,-0.1790265047229791,-0.0010859256,,0.5684028641108481,
Monocytes/DC,Naive/Memory CD8 T cells,CXCL13,CXCR5,-0.073983274,0.984,0.0032607603,-0.0756830695936507,-3.473389973768428,-0.001623817,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,CXCL2,ACKR1,-0.066404395,1.0,0.0035078637,-0.1497370611130121,-1.113385951174469,0.00033129178,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,CXCL2,CXCR1,-0.039963257,1.0,0.0015841963,-0.10390844532683648,-0.8851843008402951,9.156858e-05,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,CXCL2,CXCR2,-0.057238817,1.0,0.002841042,-0.12076012664042067,-0.7450412889842308,0.00011783662,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,CXCL8,ACKR1,2.056634,0.0,-0.40595144,1.3632710534909156,2.6778465797008195,-0.02326615,,0.0026521288179263513,
Monocytes/DC,Naive/Memory CD8 T cells,CXCL8,CD79A,1.9778965,0.0,-1.0688734,1.3514455040804998,2.96707227703545,0.07379817,,0.0013293588842638803,
Monocytes/DC,Naive/Memory CD8 T cells,CXCL8,CXCR1,2.083075,0.0,-0.18333289,1.4090996692770912,2.9060482300349935,-0.006430731,,0.0016400257808310617,
Monocytes/DC,Naive/Memory CD8 T cells,CXCL8,CXCR2,2.0657995,0.0,-0.32878274,1.392247987963507,3.0461912418910577,-0.008275498,,0.0017356360805727356,
Monocytes/DC,Naive/Memory CD8 T cells,CXCL9,ACKR1,-0.05510979,1.0,0.0013295325,-0.09753576534400278,-1.4206851546533676,0.0008926796,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,CXCL9,CCR3,-0.018942617,0.701,0.0003322444,-0.03513292496403165,-2.68422441796738,-0.0037964715,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,CXCL9,CXCR3,0.122082405,0.095,-0.0035564355,0.03359874667665479,0.0692275785964458,-0.0012910472,,0.5227776101419727,
