source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Macrophages,T cells,HLA-DRA,CD4,2.6315784,0.0,2.7724767,1.3966396611943723,3.631777787654789,0.2396505,0.95151013,0.05385478109184943,0.07148602684375817
Macrophages,CD8/Effector T cells,HLA-B,KLRD1,2.1914206,0.87,3.5730436,-0.047351488743534925,0.1055537174187351,0.047576375,0.9570383,1.0,0.0729803172219856
Macrophages,Macrophages,ADAM10,GPNMB,0.25929224,0.0,0.06503986,0.4677068739664446,0.6430930177578367,0.19165277,0.75034374,0.23785752875074026,0.07940759159192669
Macrophages,CD8/Effector T cells,HLA-B,CD3D,2.1241074,1.0,3.1287568,-0.1476080973564411,-0.13889836715661508,0.06396665,0.95422417,1.0,0.0806661302601973
Monocytes/DC,NK/Cytotoxic T cells,HLA-B,CD8A,2.6104066,0.0,2.6425648,0.3781247439615111,0.38727603837805713,0.06112488,0.95039093,0.7177264368841373,0.08224592392471224
Monocytes/DC,T cells,S100A9,ITGB2,2.6112006,0.0,2.577502,3.0797712490994944,3.054451893624586,0.08775468,0.9497999,0.021673905344671906,0.08383983233122493
T cells,CD8/Effector T cells,HLA-A,CD8A,2.1121478,0.0,3.9311674,0.3020471695764702,1.132486833186258,0.11055598,0.95895964,0.3711864932552345,0.08544783248889101
Macrophages,CD8/Effector T cells,ADAM10,TSPAN14,0.261479,0.441,0.06596909,0.006778764743970468,-0.17558833335474783,0.032369647,0.7516701,1.0,0.08814315488932789
NK/Cytotoxic T cells,NK/Cytotoxic T cells,HLA-B,CD8A,2.4619668,0.0,2.473954,0.2516632000750453,0.24468994439275882,0.057224758,0.9488133,0.9369922957661472,0.08870598108486122
Macrophages,T cells,HLA-B,CD3D,2.0889552,1.0,2.8967412,-0.17416514242414805,-0.18091715206191084,0.059223145,0.9525116,1.0,0.09202007905760637
CD8/Effector T cells,CD8/Effector T cells,HLA-C,CD8A,2.0866218,0.0,3.8605042,0.4359982393980033,1.4176334929077024,0.12266469,0.9586012,0.14745865688723028,0.09369801562016099
CD8/Effector T cells,Macrophages,HLA-A,APLP2,2.0857632,0.0,3.0264797,0.5206411636405636,0.8911754905991081,0.0947805,0.9534928,0.24901234688566706,0.09538984770515847
Macrophages,Macrophages,ENTPD1,ADORA3,0.26368237,0.0,0.069062665,0.7866516082401137,1.108720053826214,0.39405715,0.75592256,0.05385478109184943,0.09686128194127169
