source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
pDC,Macrophages,CD59,STAB1,0.27800667,0.86,0.059468076,0.36826365307771974,-0.18303168474859527,0.0048880433,0.7405614,1.0,0.980714171690217
Epithelial (ambiguous),Epithelial (ambiguous),ADAM10,GPNMB,0.15043345,0.999,0.021125127,-0.10089515115145095,-0.2451204410628229,0.001713303,0.62980974,1.0,0.9807252152120712
Basal epithelial,CAFs,HBEGF,CD82,0.2779389,0.143,0.0710332,0.08981786454205885,-0.043476762418597326,0.0044385837,0.7572649,1.0,0.9808134564691406
Memory T cells,Basal epithelial,TNF,TNFRSF1A,0.564486,0.0,0.31316778,0.3694220958095656,0.5297933676386748,0.015118982,0.8675581,0.18260334245341037,0.9808583206255206
Macrophages,Luminal epithelial,ADM,VIPR1,0.21979389,0.0,0.021126956,0.49819350545493923,0.3480833937001326,0.027209306,0.6298198,0.07388413793194952,0.9808859454731419
PVL,CAFs,THBS2,CD47,0.33173722,0.106,0.0539197,0.016636682063658655,-0.1826136702835371,0.004396602,0.73104227,1.0,0.9809127479487149
PVL,T cells,SPON2,ITGB2,0.5142849,0.0,0.24719249,0.2593206914479864,0.26614743570151206,0.012912251,0.8533665,0.39988080527527015,0.9809127479487149
Plasma cells,CD8 T cells,ADAM17,ITGB1,0.27793232,1.0,0.058382865,-0.10678159284946032,-0.19464352270391855,0.002381285,0.7387883,1.0,0.9809127479487149
Basal epithelial,Memory T cells,GDF15,TGFBR2,0.27792153,0.0,0.076412655,0.3620638627002874,0.40504349886933827,0.017572703,0.7639111,0.19280547375544865,0.981012046129166
PVL,Endothelial cells,SPON2,ITGA5,0.5142976,0.0,0.2472022,0.8526007073245668,0.7956466114225305,0.048396334,0.85336894,0.05493406895433825,0.981012046129166
Cycling T cells,Epithelial (ambiguous),ICAM1,MUC1,0.14924808,0.425,0.021129603,0.176535479268459,-0.1239042419580477,0.0039068265,0.6298344,1.0,0.9810466672047801
Epithelial (ambiguous),PVL,EDN1,EDNRB,0.5644698,0.0,0.30203408,1.6087584043654788,1.2304982411743546,0.21353291,0.86546457,0.005595180924469854,0.9810561046707967
CAFs,CAFs,LAMC1,CD44,0.4981683,1.0,0.24720304,0.2671120521523859,-0.28542538461809985,0.010369807,0.8533692,1.0,0.9811113510107201
B cells,pDC,TNF,TNFRSF1B,0.5644361,0.0,0.31176224,0.24921910900183986,0.08475640045568367,0.016722696,0.86729944,0.4826207737130497,0.9811549367715486
Cycling epithelial,Luminal epithelial,AGRN,DAG1,0.1467283,0.0,0.021132618,0.33189840857203584,0.14125786733704823,0.013181819,0.62985104,0.32849340063037674,0.9812074318999823
PVL,Macrophages,TGFB1,ITGB1,0.5644269,0.718,0.31099048,-0.010448632676069698,-0.34913668890796046,0.004117149,0.86715674,1.0,0.9812537711572711
Macrophages,NK cells,FAM3C,LAMP1,0.27789637,1.0,0.06899744,-0.12387253962518781,-0.1942370874068018,0.0017718195,0.7545825,1.0,0.9813099808780416
NK cells,Epithelial (ambiguous),CALM3,EGFR,0.295427,0.174,0.05390013,0.20510257614357402,0.1030045136202884,0.0071611395,0.73100656,1.0,0.9814095605523268
Endothelial cells,Memory T cells,FN1,ITGA4_ITGB1,0.5267633,0.0,0.24724916,0.14963040009916312,-0.088297434771963,0.008116984,0.85338086,1.0,0.9814095605523268
Basal epithelial,NK cells,CLCF1,SORL1,0.27789015,0.0,0.07143808,0.643948043191102,0.604119015908908,0.03767438,0.7577869,0.05493406895433825,0.9814095605523268
PVL,Luminal epithelial,LAMB1,ITGA6_ITGB4,0.19219911,0.0,0.021133402,0.2568480078155036,0.19139321127059905,0.0056731347,0.6298554,0.9144246652915359,0.9814484599634289
PVL,Luminal epithelial,LAMB1,ITGA6_ITGB1,0.19219911,0.0,0.021133402,0.2568480078155036,0.19139321127059905,0.0056731347,0.6298554,0.9144246652915359,0.9814484599634289
Endothelial cells,B cells,HBEGF,CD82,0.56439114,0.0,0.31843242,0.5805529826716888,0.7936048142268828,0.019897582,0.8685129,0.05493406895433825,0.9814515734998939
CAFs,Basal epithelial,TNN,SDC1,0.2778443,0.0,0.07135013,0.776453936216317,0.4611679115521325,0.077470556,0.75767386,0.05493406895433825,0.9816082306653844
Cycling T cells,B cells,CD40LG,CD40,0.49739397,0.0,0.24729773,0.688443244725413,0.6368031927880923,0.052154347,0.85339314,0.05493406895433825,0.9816082306653844
Plasma cells,Cycling T cells,ICAM1,SPN,0.5643445,0.0,0.31582767,0.7733705718773446,0.7259511487724793,0.024628354,0.86804324,0.05493406895433825,0.9816493849886851
T cells,Cycling epithelial,ANXA1,EGFR,0.28734785,1.0,0.021134956,-0.3132952567795839,-0.9112883979502066,0.0014744964,0.629864,1.0,0.9816895203261055
CD8 T cells,CD8 T cells,FASLG,FAS,0.2778223,0.0,0.07626895,0.295692644472266,0.5359674717329572,0.028665513,0.7637414,0.3094028969883553,0.9817075757754903
PVL,Memory T cells,THBS2,CD47,0.33149192,0.048,0.05387318,0.016316307946433642,0.0048292477736397305,0.0043928092,0.7309573,1.0,0.9817075757754903
Plasma cells,Basal epithelial,S100A4,EGFR,0.5358428,1.0,0.2474123,0.5488102774719931,-0.5505620296277343,0.01449517,0.8534221,1.0,0.9818069275882825
Macrophages,CD8 T cells,APP,LRP10,0.27777687,1.0,0.0749955,-0.14462160749006078,-0.3353195543628045,0.001322463,0.76221883,1.0,0.9818069275882825
Plasma cells,Cycling T cells,HLA-DPA1,LAG3,0.56411344,0.025,0.31578794,0.40941246561481137,-0.18404366631108893,0.0129598295,0.86803603,1.0,0.981847078890233
Macrophages,PVL,CXCL11,ACKR3,0.14650512,0.0,0.021135008,0.6122585414665562,0.4438286409049896,0.10261916,0.6298642,0.05493406895433825,0.9818501994112427
T cells,CAFs,SERTAD1,AR,0.369099,1.0,0.0538646,-0.05030256506344706,-0.27812568627712825,0.0047180355,0.7309418,1.0,0.9819062861039873
Macrophages,Epithelial (ambiguous),CCL5,SDC1,0.49851984,1.0,0.24743582,0.11079116100239886,-0.7424071671033295,0.0058660414,0.85342807,1.0,0.9819062861039873
